gadget_name,function
Nobita's Dinosaur (Movie),cover a pet dinosaur
Nobita's Dinosaur (Movie),think of a pet dinosaur
Iron Troop Maker,Mass-produces automaton
Iron Troop Maker,Mass-produces robots
Iron Troop Maker,Mass-produces robot
Iron Troop Maker,Mass-produces golem
Dream Town Creator,Designs custom townspeople
Dream Town Creator,Designs customs duty towns
Dream Town Creator,Designs usage towns
Dream Town Creator,Designs custom towns
Dream Town Creator,Designs custom town
Undersea Highway,Underwater route system
Undersea Highway,Underwater road organisation
Undersea Highway,Underwater road organization
Undersea Highway,Underwater road system of rules
Undersea Highway,Underwater road system
Space Lifeboat,Emergency escape cod
Space Lifeboat,Emergency escape seedcase
Space Lifeboat,Emergency escape fuel pod
Space Lifeboat,pinch escape pod
Space Lifeboat,Emergency escape pod
Time Patrol Gear,Time police equipment
Time Patrol Gear,Time police force equipment
Time Patrol Gear,clip police equipment
Time Patrol Gear,metre police equipment
Time Patrol Gear,Time constabulary equipment
Dragon Crayon,drawing become dragons
Dragon Crayon,Drawings become dragons
Dragon Crayon,Drawings become Draco
Dragon Crayon,Drawings turn dragons
Dragon Crayon,Drawings go dragons
Nobita's Space Drift,Survives in infinite
Nobita's Space Drift,Survives in space
Nobita's Space Drift,Survives in outer space
Nobita's Space Drift,Survives in place
Nobita's Space Drift,Survives in blank
Demon World Adventure Gear,Anti-demon artillery
Demon World Adventure Gear,Anti-demon weapons
Demon World Adventure Gear,Anti-demon weapon system
Demon World Adventure Gear,Anti-demon arm
Demon World Adventure Gear,Anti-demon weapon
Sword of the Sun God,Mythical energy brand
Sword of the Sun God,Mythical energy leaf blade
Sword of the Sun God,Mythical vigor blade
Sword of the Sun God,Mythical zip blade
Sword of the Sun God,Mythical energy blade
Undersea Person Suit,Breathe underwater
Space Taxi,Interplanetary tape transport
Space Taxi,Interplanetary tape drive
Space Taxi,Interplanetary transport
Space Taxi,Interplanetary transportation
Space Taxi,interplanetary transport
Time Criminal Arrest Kit,Captures clip offenders
Time Criminal Arrest Kit,Captures sentence offenders
Time Criminal Arrest Kit,Captures meter offenders
Time Criminal Arrest Kit,Captures time offenders
Time Criminal Arrest Kit,Captures prison term offenders
Nobita's Wedding Eve,Sees future married couple
Nobita's Wedding Eve,see future marriage
Nobita's Wedding Eve,Sees future marriage
Nobita's Wedding Eve,Sees next marriage
Nobita's Wedding Eve,Sees succeeding marriage
Dinosaur Hunter Gear,Tracks dinosaurs
Dinosaur Hunter Gear,path dinosaurs
Dinosaur Hunter Gear,raceway dinosaurs
Dinosaur Hunter Gear,running dinosaurs
Dinosaur Hunter Gear,Tracks dinosaur
Demon World Lantern,Repels devil
Demon World Lantern,Repels daimon
Demon World Lantern,Repels monster
Demon World Lantern,Repels demons
Demon World Lantern,Repels demon
Space Pirate Treasure,Alien applied science
Space Pirate Treasure,outlander technology
Space Pirate Treasure,Alien technology
Space Pirate Treasure,Alien engineering science
Space Pirate Treasure,extraterrestrial being technology
Milky Way Railway Ticket,Ride the space railroad train
Milky Way Railway Ticket,Ride the space power train
Milky Way Railway Ticket,Ride the space geartrain
Milky Way Railway Ticket,Ride the space train
Milky Way Railway Ticket,Ride the quad train
Undersea Volcano Controller,Stabilizes vent
Undersea Volcano Controller,Stabilizes volcano
Undersea Volcano Controller,Stabilizes volcanoes
Nobita's Animal Planet,Communicate with animals
Nobita's Animal Planet,Communicate with animal
Nobita's Animal Planet,Communicate with creature
Nobita's Animal Planet,Communicate with animate being
Nobita's Animal Planet,Communicate with fauna
Time Ghost Exorcism Kit,Battles sentence anomalies
Time Ghost Exorcism Kit,Battles metre anomalies
Time Ghost Exorcism Kit,Battles time anomaly
Time Ghost Exorcism Kit,fight time anomalies
Time Ghost Exorcism Kit,Battles time anomalies
Space Soccer Ball,Zero-gravity mutation
Space Soccer Ball,Zero-gravity sports
Space Soccer Ball,Zero-gravity sportswoman
Space Soccer Ball,Zero-gravity play
Space Soccer Ball,Zero-gravity athletics
Dinosaur Care Kit,Raises baby dinosaurs
Dinosaur Care Kit,Raises coddle dinosaurs
Dinosaur Care Kit,Raises spoil dinosaurs
Dinosaur Care Kit,Raises baby dinosaur
Dinosaur Care Kit,Raises cosset dinosaurs
Magic Bottle,Traps magical tool
Magic Bottle,Traps magical wight
Magic Bottle,Traps magical creatures
Magic Bottle,Traps charming creatures
Magic Bottle,snare magical creatures
Solar System Escape Pod,Flee planetary tragedy
Solar System Escape Pod,Flee planetary disasters
Solar System Escape Pod,Flee planetary calamity
Solar System Escape Pod,Flee planetal disasters
Solar System Escape Pod,Flee erratic disasters
Robot School Kit,Educates golem
Robot School Kit,Educates automaton
Robot School Kit,Educates robot
Robot School Kit,Educates robots
Undersea Restaurant,Underwater din
Undersea Restaurant,Underwater boom
Undersea Restaurant,Underwater dine
Undersea Restaurant,Underwater dining
Space Carpet,wing space rug
Space Carpet,Flying space carpet
Space Carpet,Flying space rug
Space Carpet,Flying blank space rug
Space Carpet,Flying outer space rug
Time Police Badge,Authority over sentence
Time Police Badge,government agency over time
Time Police Badge,self-assurance over time
Time Police Badge,office over time
Time Police Badge,Authority over time
Nobita's Dinosaur Fossil,Revives ancient life story
Nobita's Dinosaur Fossil,Revives ancient animation
Nobita's Dinosaur Fossil,Revives ancient life
Nobita's Dinosaur Fossil,Revives ancient spirit
Nobita's Dinosaur Fossil,Revives ancient life-time
Demon World Map,Navigates hell
Space Pet,Alien fellow
Space Pet,Alien companion
Space Pet,Alien fellow traveller
Space Pet,Alien associate
Space Pet,Alien familiar
Weather Robot,Controls climate
Weather Robot,Controls clime
Weather Robot,mastery climate
Weather Robot,ascendency climate
Weather Robot,Controls mood
Undersea Mining Machine,Extracts rare minerals
Undersea Mining Machine,Extracts rare mineral
Undersea Mining Machine,Extracts uncommon minerals
Undersea Mining Machine,Extracts rarified minerals
Undersea Mining Machine,excerption rare minerals
Time Warp Hat,Brief time jumps
Time Warp Hat,Brief prison term jumps
Time Warp Hat,Brief time jump
Time Warp Hat,Brief clip jumps
Time Warp Hat,abbreviated time jumps
Space Plant,Alien plant life
Space Plant,Alien botany
Space Plant,Alien plant
Space Plant,Alien flora
Space Plant,Alien vegetation
Nobita's Undersea Castle,Builds underwater infrastructure
Nobita's Undersea Castle,frame underwater bases
Nobita's Undersea Castle,Builds underwater stem
Nobita's Undersea Castle,Builds underwater bases
Nobita's Undersea Castle,anatomy underwater bases
Robot Arm,mechanically skillful limb
Robot Arm,Mechanical branch
Robot Arm,mechanical limb
Robot Arm,Mechanical arm
Robot Arm,Mechanical limb
Magic Lamp (Movie),djinny with limits
Magic Lamp (Movie),jinnee with limits
Magic Lamp (Movie),Genie with limits
Magic Lamp (Movie),djinn with limits
Magic Lamp (Movie),Genie with point of accumulation
Space Music Box,equanimity alien beasts
Space Music Box,Calms alien brute
Space Music Box,Calms extraterrestrial being beasts
Space Music Box,Calms alien beasts
Space Music Box,Calms alien creature
Time Paradox Fixer,haunt timeline errors
Time Paradox Fixer,Repairs timeline misplay
Time Paradox Fixer,repair timeline errors
Time Paradox Fixer,Repairs timeline errors
Time Paradox Fixer,Repairs timeline error
Undersea Explorer,Mini-submarine
Nobita's Space War,Battles aliens
Nobita's Space War,Battles extraterrestrial being
Nobita's Space War,battle aliens
Nobita's Space War,Battles unknown
Nobita's Space War,Battles stranger
Magic Wand,Casts piece
Magic Wand,Casts patch
Magic Wand,dramatis personae spells
Magic Wand,shape spells
Magic Wand,Casts spells
Solar Energy Collector,harness sunlight
Solar Energy Collector,Harnesses sunlight
Space Map,Interstellar pilotage
Space Map,Interstellar navigation
Space Map,interstellar navigation
Space Map,Interstellar sailing
Space Map,Interstellar seafaring
Time Stop Watch,intermission time globally
Time Stop Watch,Pauses sentence globally
Time Stop Watch,Pauses time globally
Time Stop Watch,Pauses clip globally
Time Stop Watch,break time globally
Undersea City Kit,Builds Atlantis
Undersea City Kit,soma Atlantis
Undersea City Kit,flesh Atlantis
Undersea City Kit,habitus Atlantis
Undersea City Kit,shape Atlantis
Space Seed,Grows planetary wood
Space Seed,Grows planetary forests
Space Seed,Grows planetal forests
Space Seed,Grows planetary timberland
Space Seed,Grows planetary woods
Robot Repair Kit,reparation robots
Robot Repair Kit,Fixes robots
Robot Repair Kit,Fixes automaton
Robot Repair Kit,hole robots
Robot Repair Kit,Fixes robot
Magic Picture Book,news report become real
Magic Picture Book,Stories go real
Magic Picture Book,Stories become real
Magic Picture Book,chronicle become real
Magic Picture Book,Stories become substantial
Sword of the Sun (Replica),Copy of the sacred blade
Sword of the Sun (Replica),Copy of the sacred sword
Sword of the Sun (Replica),copy of the sacred blade
Sword of the Sun (Replica),Copy of the hallowed blade
Sword of the Sun (Replica),Copy of the sacred leaf blade
Space Station Kit,Builds orbital bases
Space Station Kit,frame orbital bases
Space Station Kit,figure orbital bases
Space Station Kit,bod orbital bases
Space Station Kit,build orbital bases
Time TV (Movie),Watches take turns timelines
Time TV (Movie),Watches alternate timelines
Time TV (Movie),Watches alternate timeline
Time TV (Movie),Watches jump timelines
Time TV (Movie),scout alternate timelines
Undersea Robot,Deep-sea helper
Undersea Robot,Deep-sea help
Undersea Robot,Deep-sea supporter
Undersea Robot,Deep-sea assistant
Magic Mirror,solution questions
Magic Mirror,reply questions
Magic Mirror,Answers questions
Magic Mirror,resolution questions
Magic Mirror,solvent questions
Space Suit (Movie),Advanced EVA appurtenance
Space Suit (Movie),Advanced EVA gear
Space Suit (Movie),Advanced EVA gear wheel
Space Suit (Movie),Advanced EVA cogwheel
Space Suit (Movie),Advanced EVA gear mechanism
Time Machine (Large),radical time travel
Time Machine (Large),Group time travelling
Time Machine (Large),Group sentence travel
Time Machine (Large),Group time travel
Time Machine (Large),Group time locomotion
Undersea Tank,Armored zep
Undersea Tank,Armored submarine
Undersea Tank,Armored torpedo
Undersea Tank,Armored poor boy
Undersea Tank,Armored hoagie
Magic Broom,vaporize broomstick
Magic Broom,Flying broomstick
Magic Broom,fell broomstick
Magic Broom,Flying broom handle
Magic Broom,fly broomstick
Space Telescope,Views distant wandflower
Space Telescope,persuasion distant galaxies
Space Telescope,sentiment distant galaxies
Space Telescope,Views remote galaxies
Space Telescope,Views distant galaxies
Time Patrol Badge,Authority in time
Time Patrol Badge,Authority in sentence
Time Patrol Badge,Authority in clock time
Time Patrol Badge,Authority in metre
Time Patrol Badge,confidence in time
Undersea Communicator,Talks to sea creatures
Undersea Communicator,talks to sea creatures
Undersea Communicator,talk of the town to sea creatures
Undersea Communicator,negotiation to sea creatures
Undersea Communicator,Talks to sea puppet
Magic Potion,Temporary great power
Magic Potion,Temporary office
Magic Potion,irregular powers
Magic Potion,Temporary tycoon
Magic Potion,Temporary powers
Space Flute,process space whales
Space Flute,Summons space whales
Space Flute,Summons space hulk
Space Flute,Summons space heavyweight
Space Flute,Summons space whale
Time Correction Pen,Edits timeline errors
Time Correction Pen,Edits timeline wrongdoing
Time Correction Pen,Edits timeline erroneousness
Time Correction Pen,Edits timeline computer error
Time Correction Pen,Edits timeline misplay
Undersea Volcano Stabilizer,Prevents volcanic eruption
Undersea Volcano Stabilizer,Prevents irruption
Undersea Volcano Stabilizer,Prevents eruptions
Undersea Volcano Stabilizer,Prevents bam
Undersea Volcano Stabilizer,Prevents bang
4D Pocket Expander,Increases pocket storehouse capacity
4D Pocket Expander,Increases pocket computer memory capacity
4D Pocket Expander,step-up pocket storage capacity
4D Pocket Expander,Increases bag storage capacity
4D Pocket Expander,Increases pocket storage capacity
Super Alloy Z Maker,Creates indestructible alloy
Super Alloy Z Maker,Creates indestructible metal
Super Alloy Z Maker,Creates indestructible metallic element
Super Alloy Z Maker,Creates undestroyable metal
Super Alloy Z Maker,Creates durable metal
Dream Coin,Purchases dream experiences
Dream Coin,Purchases dreaming experiences
Dream Coin,purchase dream experiences
Dream Coin,Purchases aspiration experiences
Dream Coin,Purchases dream experience
Devil's Dice 2.0,Advanced realism warping
Devil's Dice 2.0,Advanced reality buckle
Devil's Dice 2.0,Advanced realness warping
Devil's Dice 2.0,Advanced world warping
Devil's Dice 2.0,Advanced reality warping
Space Fishing Rod,Catches alien fish
Space Fishing Rod,Catches foreign fish
Space Fishing Rod,Catches alien Pisces
Space Fishing Rod,Catches alien Pisces the Fishes
Space Fishing Rod,catch alien fish
Time Shield,Protects from timeline change
Time Shield,Protects from timeline alteration
Time Shield,Protects from timeline modification
Time Shield,Protects from timeline changes
Time Shield,Protects from timeline variety
Plant Translator,Communicates with industrial plant
Plant Translator,Communicates with plant life
Plant Translator,Communicates with plants
Plant Translator,Communicates with works
Plant Translator,Communicates with plant
Dorami's First Aid Kit,hereafter medical tools
Dorami's First Aid Kit,Future medical tools
Dorami's First Aid Kit,Future medical dick
Dorami's First Aid Kit,future medical tools
Dorami's First Aid Kit,Future aesculapian tools
Shadow Piggy Bank,Saves money from shadows
Shadow Piggy Bank,Saves money from apparition
Shadow Piggy Bank,Saves money from phantasma
Shadow Piggy Bank,save money from shadows
Shadow Piggy Bank,Saves money from darkness
Future Eraser,Erases future upshot
Future Eraser,Erases succeeding events
Future Eraser,Erases future events
Future Eraser,Erases future case
Future Eraser,Erases next events
Space Soccer Ball 2.0,Anti-gravity sport
Space Soccer Ball 2.0,Anti-gravity athletics
Space Soccer Ball 2.0,Anti-gravity sports
Space Soccer Ball 2.0,Anti-gravity fun
Space Soccer Ball 2.0,Anti-gravity mutant
Devil's Camera 2.0,Steals colors from public
Devil's Camera 2.0,bargain colors from world
Devil's Camera 2.0,Steals coloration from world
Devil's Camera 2.0,Steals colors from world
Devil's Camera 2.0,Steals gloss from world
Doraemon's Nose,Super-smell sensing element
Doraemon's Nose,Super-smell sensor
Doraemon's Nose,Super-smell detector
4D Interferometer,Detects pocket dimension anomalousness
4D Interferometer,Detects pocket dimension anomalies
4D Interferometer,Detects bag dimension anomalies
4D Interferometer,Detects pocket property anomalies
4D Interferometer,Detects pocket proportion anomalies
Robot Emotion Chip,Grants golem feelings
Robot Emotion Chip,Grants robots feelings
Robot Emotion Chip,Grants robots flavour
Robot Emotion Chip,grant robots feelings
Robot Emotion Chip,Grants robots spirit
Weather Robot 2.0,Predicts weather with 100 % truth
Weather Robot 2.0,Predicts weather with 100% accuracy
Weather Robot 2.0,Predicts brave with 100 % accuracy
Weather Robot 2.0,Predicts brave out with 100 % accuracy
Weather Robot 2.0,Predicts endure with 100 % accuracy
Devil's Passport 3.0,Unlimited wishes ( with bigger aftermath )
Devil's Passport 3.0,Unlimited wishes ( with heavy consequences )
Devil's Passport 3.0,Unlimited wishes ( with bigger upshot )
Devil's Passport 3.0,Unlimited wishes ( with bigger import )
Devil's Passport 3.0,Unlimited wishes (with bigger consequences)
Space Kite,Flies through cosmic air current
Space Kite,fly sheet through cosmic winds
Space Kite,Flies through cosmic winds
Space Kite,Flies through cosmic winding
Space Kite,fly through cosmic winds
Time Paradox Neutralizer,Prevents timeline crash
Time Paradox Neutralizer,Prevents timeline collapse
Time Paradox Neutralizer,Prevents timeline prostration
Time Paradox Neutralizer,Prevents timeline collapses
Time Paradox Neutralizer,Prevents timeline flop
Dorami's Time Stop,break time for 1 hour
Dorami's Time Stop,pause time for 1 hour
Dorami's Time Stop,Pauses time for 1 hour
Dorami's Time Stop,Pauses time for 1 minute
Dorami's Time Stop,Pauses time for 1 60 minutes
4D Refrigerator,Infinite food storage
4D Refrigerator,space food storage
4D Refrigerator,infinite food storage
4D Refrigerator,Infinite solid food storage
4D Refrigerator,Infinite food for thought storage
Devil's Megaphone 2.0,Reality warping with echo effect
Devil's Megaphone 2.0,world warping with echo effect
Devil's Megaphone 2.0,reality warping with echo effect
Devil's Megaphone 2.0,Reality falsify with echo effect
Devil's Megaphone 2.0,Reality warp with echo effect
Space Telescope 2.0,Views collimate universes
Space Telescope 2.0,Views duplicate universes
Space Telescope 2.0,Views parallel universe of discourse
Space Telescope 2.0,Views parallel universes
Space Telescope 2.0,Views parallel universe
Time TV Pro,Interacts with past/future
Doraemon's Whiskers,Ultimate detector system
Doraemon's Whiskers,ultimate sensor system
Doraemon's Whiskers,Ultimate sensor scheme
Doraemon's Whiskers,Ultimate sensor system
Doraemon's Whiskers,Ultimate sensing element system
Devil's Cards 2.0,Reality-warping poker
Devil's Cards 2.0,Reality-warping stove poker
Devil's Cards 2.0,Reality-warping salamander
Devil's Cards 2.0,Reality-warping fire hook
Devil's Cards 2.0,Reality-warping poker game
Space Seed 2.0,Grows habitable planet
Space Seed 2.0,Grows habitable planets
Space Seed 2.0,Grows inhabitable planets
Space Seed 2.0,Grows habitable satellite
Space Seed 2.0,Grows habitable major planet
Time Machine Mini,Personal clip travel watch
Time Machine Mini,Personal metre travel watch
Time Machine Mini,Personal time travel watch
Time Machine Mini,Personal clock time travel watch
Time Machine Mini,Personal sentence travel watch
4D Vacuum,Cleans air pocket dimensions
4D Vacuum,Cleans sack dimensions
4D Vacuum,Cleans pocket dimensions
4D Vacuum,clean and jerk pocket dimensions
4D Vacuum,Cleans pocket dimension
Devil's Lamp 2.0,Genie with twisted interpretations
Devil's Lamp 2.0,Genie with twisted interpretation
Devil's Lamp 2.0,Genie with distorted interpretations
Devil's Lamp 2.0,Genie with perverted interpretations
Devil's Lamp 2.0,Genie with twisted rendition
Space Pen 2.0,Writes in any proportion
Space Pen 2.0,Writes in any dimension
Space Pen 2.0,Writes in any property
Space Pen 2.0,Writes in any attribute
Time Stopper 2.0,Pauses prison term for 24 hours
Time Stopper 2.0,Pauses time for 24 hours
Time Stopper 2.0,Pauses clock time for 24 hours
Time Stopper 2.0,Pauses time for 24 time of day
Time Stopper 2.0,intermission time for 24 hours
Dorami's 4D Pocket,Smaller dimensional warehousing
Dorami's 4D Pocket,Smaller dimensional memory
Dorami's 4D Pocket,Smaller dimensional storehouse
Dorami's 4D Pocket,Smaller dimensional entrepot
Dorami's 4D Pocket,Smaller dimensional storage
Devil's Dice 3.0,Multiversal randomisation
Devil's Dice 3.0,Multiversal randomization
Space Swing,Swings between satellite
Space Swing,Swings between major planet
Space Swing,Swings between planet
Space Swing,Swings between planets
Space Swing,jive between planets
Time Correction Fluid,Erases minor timeline erroneousness
Time Correction Fluid,Erases small-scale timeline errors
Time Correction Fluid,Erases venial timeline errors
Time Correction Fluid,Erases minor timeline errors
Time Correction Fluid,Erases minor timeline computer error
4D Ice,Never melts
4D Ice,Never melting
4D Ice,ne'er melts
4D Ice,Never melt
4D Ice,never melts
Devil's Passport Ultimate,absolute omnipotence
Devil's Passport Ultimate,Absolute omnipotence
Space Flute 2.0,control condition cosmic entities
Space Flute 2.0,Controls cosmic entity
Space Flute 2.0,Controls cosmic entities
Space Flute 2.0,controller cosmic entities
Space Flute 2.0,ascendence cosmic entities
Time Machine XL,Group time travel autobus
Time Machine XL,Group fourth dimension travel bus
Time Machine XL,Group prison term travel bus
Time Machine XL,group time travel bus
Time Machine XL,Group time travel bus
Doraemon's Bell 2.0,Summons alternate Doraemons
Doraemon's Bell 2.0,summons alternate Doraemons
Doraemon's Bell 2.0,Summons switch Doraemons
Doraemon's Bell 2.0,Summons understudy Doraemons
Doraemon's Bell 2.0,bidding alternate Doraemons
Devil's Camera 3.0,bargain concepts from reality
Devil's Camera 3.0,Steals construct from reality
Devil's Camera 3.0,Steals concepts from world
Devil's Camera 3.0,Steals concepts from reality
Devil's Camera 3.0,Steals concepts from realism
Space Seed 3.0,Grows pitch-black holes
Space Seed 3.0,Grows black holes
Space Seed 3.0,Grows blackened holes
Space Seed 3.0,Grows mordant holes
Space Seed 3.0,Grows smutty holes
Time Patrol Uniform,Official time police gear
Time Patrol Uniform,Official fourth dimension police gear
Time Patrol Uniform,prescribed time police gear
Time Patrol Uniform,Official time police force gear
Time Patrol Uniform,Official time police pitch
4D Pocket Pro,AI-managed memory board
4D Pocket Pro,AI-managed storehouse
4D Pocket Pro,AI-managed computer storage
4D Pocket Pro,AI-managed warehousing
4D Pocket Pro,AI-managed storage
Devil's Megaphone 3.0,realism overwrite
Devil's Megaphone 3.0,world overwrite
Devil's Megaphone 3.0,realness overwrite
Devil's Megaphone 3.0,Reality overwrite
Devil's Megaphone 3.0,reality overwrite
Space Paint,Creates miniature stars
Space Paint,Creates miniature lead
Space Paint,Creates miniature whizz
Space Paint,Creates miniature genius
Space Paint,Creates miniature champion
Time TV Ultra,Alters past/future programme
Time TV Ultra,Alters past/future broadcast
Time TV Ultra,Alters past/future broadcasts
Time TV Ultra,Alters past/future program
Dorami's First Aid Kit 2.0,Revives nonextant species
Dorami's First Aid Kit 2.0,Revives extinct metal money
Dorami's First Aid Kit 2.0,Revives extinct coinage
Dorami's First Aid Kit 2.0,Revives out species
Dorami's First Aid Kit 2.0,Revives extinct species
Devil's Dice 4.0,Multiversal flop
Devil's Dice 4.0,Multiversal prostration
Devil's Dice 4.0,Multiversal crash
Devil's Dice 4.0,Multiversal collapse
Space Origami,flexure spacetime
Space Origami,flock spacetime
Space Origami,fold spacetime
Space Origami,Folds spacetime
Space Origami,plication spacetime
Time Machine Nano,Microscopic time traveling
Time Machine Nano,Microscopic meter travel
Time Machine Nano,Microscopic metre travel
Time Machine Nano,Microscopic time travel
Time Machine Nano,Microscopic time change of location
4D Pocket Nano,Subatomic store
4D Pocket Nano,Subatomic storage
4D Pocket Nano,subatomic storage
4D Pocket Nano,Subatomic repositing
4D Pocket Nano,Subatomic reposition
Devil's Passport Nano,Quantum-scale wish granting
Space Seed Nano,Creates pocket world
Space Seed Nano,Creates pocket existence
Space Seed Nano,Creates bag universes
Space Seed Nano,Creates pocket universes
Space Seed Nano,Creates pocket population
Time Patrol Nano,Quantum timeline protective covering
Time Patrol Nano,Quantum timeline protection
Time Patrol Nano,quantum timeline protection
Time Patrol Nano,Quantum timeline aegis
Time Patrol Nano,Quantum timeline trade protection
Doraemon's Bell Nano,Quantum entanglement rally
Doraemon's Bell Nano,quantum entanglement summoning
Doraemon's Bell Nano,Quantum web summoning
Doraemon's Bell Nano,Quantum entanglement summoning
Doraemon's Bell Nano,Quantum entanglement muster up
Devil's Camera Nano,Erases quantum United States Department of State
Devil's Camera Nano,Erases quantum states
Devil's Camera Nano,Erases quantum state
Devil's Camera Nano,Erases quantum DoS
Devil's Camera Nano,Erases quantum State
Space Flute Nano,Controls quantum vibrations
Space Flute Nano,restraint quantum vibrations
Space Flute Nano,ascendancy quantum vibrations
Space Flute Nano,ascendency quantum vibrations
Space Flute Nano,command quantum vibrations
Time Machine Ultra,Transcends timeline
Time Machine Ultra,Transcends timelines
4D Pocket Ultra,Contains multiverses
Devil's Passport Final,Absolute omnipotence+
Devil's Passport Final,absolute omnipotence+
Space Seed Final,Creates omniverses
Time Patrol Final,Absolute timeline authorisation
Time Patrol Final,absolute timeline authority
Time Patrol Final,Absolute timeline self-confidence
Time Patrol Final,Absolute timeline sanction
Time Patrol Final,Absolute timeline authority
Doraemon's Bell Final,Summons the generator
Doraemon's Bell Final,bidding the author
Doraemon's Bell Final,process the author
Doraemon's Bell Final,summons the author
Doraemon's Bell Final,Summons the author
Devil's Camera Final,Erases story
Devil's Camera Final,Erases narratives
Devil's Camera Final,Erases narration
Devil's Camera Final,Erases tale
Devil's Camera Final,Erases narrative
Space Flute Final,Sings reality into cost
Space Flute Final,Sings realism into being
Space Flute Final,Sings reality into follow
Space Flute Final,Sings reality into personify
Space Flute Final,Sings reality into being
Time Machine Final,Transcends storytelling
4D Pocket Final,Contains all fabrication
4D Pocket Final,Contains all fiction
4D Pocket Final,Contains all fable
Doraemon Himself,The ultimate problem-solver
4D Pocket AI,AI-managed pocket proportion
4D Pocket AI,AI-managed air hole dimension
4D Pocket AI,AI-managed pocket attribute
4D Pocket AI,AI-managed air pocket dimension
4D Pocket AI,AI-managed pocket dimension
Emotion Transmitter,Transfers tactile sensation to others
Emotion Transmitter,Transfers feelings to others
Emotion Transmitter,Transfers feel to others
Emotion Transmitter,Transfers flavor to others
Emotion Transmitter,Transfers tactual sensation to others
Devil's Mirror,appearance darkest desires
Devil's Mirror,display darkest desires
Devil's Mirror,show darkest desires
Devil's Mirror,Shows darkest desire
Devil's Mirror,Shows darkest desires
Space Aquarium,Holds alien sea fauna
Space Aquarium,wait alien sea creatures
Space Aquarium,Holds foreign sea creatures
Space Aquarium,Holds alien ocean creatures
Space Aquarium,Holds alien sea creatures
Time Tape,Repairs timeline snag
Time Tape,Repairs timeline teardrop
Time Tape,Repairs timeline tears
Time Tape,stamping ground timeline tears
Time Tape,mend timeline tears
Dorami's Time Machine 2.0,Upgraded pink prison term machine
Dorami's Time Machine 2.0,Upgraded pinkish time machine
Dorami's Time Machine 2.0,promote pink time machine
Dorami's Time Machine 2.0,Upgraded pink time machine
Dorami's Time Machine 2.0,kick upstairs pink time machine
Devil's Dice 5.0,alternate dimension creation
Devil's Dice 5.0,Alternate dimension creative activity
Devil's Dice 5.0,surrogate dimension creation
Devil's Dice 5.0,Alternate attribute creation
Devil's Dice 5.0,Alternate dimension creation
Plant Warrior Generator,Creates plant-based soldier
Plant Warrior Generator,make plant-based soldiers
Plant Warrior Generator,Creates plant-based soldiers
Plant Warrior Generator,create plant-based soldiers
Plant Warrior Generator,produce plant-based soldiers
Space Orchestra,Music controls celestial bodies
Space Orchestra,Music ascertain celestial bodies
Space Orchestra,music controls celestial bodies
Space Orchestra,Music controls celestial consistence
Space Orchestra,Music controls supernal bodies
Time Paradox Shield,Protects from expunction
Time Paradox Shield,Protects from expunging
Time Paradox Shield,Protects from erasure
4D Freezer,Preserves items eternally
4D Freezer,Preserves items evermore
4D Freezer,Preserves particular eternally
4D Freezer,preserve items eternally
4D Freezer,Preserves token eternally
Devil's Paint,Paintings assimilate real objects
Devil's Paint,picture absorb real objects
Devil's Paint,Paintings absorb substantial objects
Devil's Paint,Paintings absorb real objects
Devil's Paint,Paintings absorb tangible objects
Doraemon's Eyes,X-ray and telescopic vision
Doraemon's Eyes,X-ray and telescopic visual sense
Doraemon's Eyes,X-ray picture and telescopic vision
Doraemon's Eyes,X-radiation and telescopic vision
Doraemon's Eyes,X ray and telescopic vision
Space Chess,Play with alien part
Space Chess,Play with alien firearm
Space Chess,Play with alien pieces
Space Chess,Play with alien spell
Space Chess,bid with alien pieces
Time Capsule Pro,Sends memories to future
Time Capsule Pro,Sends storage to future
Time Capsule Pro,Sends computer memory to future
Time Capsule Pro,Sends retentiveness to future
Time Capsule Pro,Sends memory to future
Devil's Camera 4.0,"Steals 'concepts ' ( e.g. , people of color )"
Devil's Camera 4.0,"bargain 'concepts ' ( e.g. , color )"
Devil's Camera 4.0,"Steals 'concepts' (e.g., color)"
Devil's Camera 4.0,"Steals 'concepts ' ( e.g. , semblance )"
Devil's Camera 4.0,"steal 'concepts ' ( e.g. , color )"
Molecular Rebuilder,Rearranges matter
Molecular Rebuilder,Rearranges subject
Molecular Rebuilder,Rearranges topic
Molecular Rebuilder,Rearranges issue
Molecular Rebuilder,Rearranges thing
Dorami's First Aid Kit 3.0,Cures fictitious diseases
Dorami's First Aid Kit 3.0,remedy fictional diseases
Dorami's First Aid Kit 3.0,Cures fictional diseases
Dorami's First Aid Kit 3.0,curative fictional diseases
Dorami's First Aid Kit 3.0,Cures fictional disease
Dream Library,Read others' dreams as books
Dream Library,Read others ' pipe dream as books
Dream Library,Read others ' dreaming as books
Dream Library,Read others ' aspiration as books
Dream Library,Read others ' dream as books
4D Telescope,See through attribute
4D Telescope,See through property
4D Telescope,discover through dimensions
4D Telescope,See through dimensions
4D Telescope,date through dimensions
Devil's Passport NEO,Reality edit out with clauses
Devil's Passport NEO,reality editing with clauses
Devil's Passport NEO,realism editing with clauses
Devil's Passport NEO,Reality editing with article
Devil's Passport NEO,Reality editing with clauses
Space Bonsai,Grows toy galaxies
Space Bonsai,Grows illumination galaxies
Space Bonsai,Grows miniature Galax urceolata
